股票代码,股票简称,最新价,最新涨跌幅,最低价:不复权[20250310],下影线[20250307],{(}最低价:不复权[20250310]{-}下影线[20250307]{)},60日横盘(条件说明)[20250310],买入信号inter[20250310],技术形态[20250310],开盘价:不复权[20250310],最高价:不复权[20250310],收盘价:不复权[20250310],买入信号inter[20250307],技术形态[20250307],market_code,code,原始股票代码,转换后股票代码,股票名称,MACD信号,KDJ信号,RSI信号,BOLL信号,DMI信号,综合评分,评测结果,备注,主力持仓成本,平均成本
600941.SH,中国移动,106.8,-1.648402247,106.8,0.719,106.081,横盘,周线wr超卖,缩量||价跌量缩||回调缩量,108.48,108.48,106.8,周线boll突破中轨||周线rsi底背离,阳线||缩量||价升量缩,17,600941,600941,600941.SS,中国移动,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
002304.SZ,洋河股份,77.32,-0.655274316,77.3,0.287,77.01299999999999,横盘,月线dmi金叉||月线dma金叉,缩量||价跌量缩||回调缩量,77.53,77.85,77.31,kdj金叉||lwr买入信号||月线dmi金叉,价升量涨||阳线||放量,33,002304,002304,002304.SZ,洋河股份,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
000333.SZ,美的集团,70.9,0.155389179,70.51,0.754,69.756,横盘,mtm金叉||rsi金叉||周线skdj金叉,阳线||缩量||价升量缩,70.81,71.26,70.91,mtm金叉||周线skdj金叉,缩量||价跌量缩||回调缩量,33,000333,000333,000333.SZ,美的集团,看涨,看跌,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
688029.SH,南微医学,68.62,-0.101907119,68.55,0.527,68.023,横盘,dmi金叉||月线roc买入信号,缩量||价升量缩||阴线,69,69.69,68.62,月线roc买入信号||周线mtm金叉,放量||阴线||价跌量升,17,688029,688029,688029.SS,南微医学,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600660.SH,福耀玻璃,56.43,0.767857143,55.88,1.127,54.753,横盘,macd金叉,阳线||缩量||价升量缩,56.1,56.56,56.43,mtm金叉||行情收盘价上穿5日||rsi金叉,价升量涨||阳线||放量,17,600660,600660,600660.SS,福耀玻璃,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
000538.SZ,云南白药,55.03,-0.253761102,55.01,0.364,54.646,横盘,psy超卖||周线wr超卖||周线skdj超卖,缩量||价跌量缩||回调缩量,55.2,55.53,55.03,cr金叉||psy超卖||周线wr超卖,阳线||缩量||价跌量缩,33,000538,000538,000538.SZ,云南白药,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
002032.SZ,苏泊尔,52.77,0.056882821,52.51,0.438,52.071999999999996,横盘,行情收盘价上穿5日||rsi金叉||周线rsi金叉,阳线||缩量||价升量缩,52.8,52.96,52.77,周线roc买入信号||周线mtm金叉,缩量||回调缩量||阴线,33,002032,002032,002032.SZ,苏泊尔,看涨,看跌,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
002352.SZ,顺丰控股,42.23,0.213573802,41.62,0.429,41.190999999999995,横盘,月线skdj金叉,阳线||缩量||价升量缩,42.14,42.45,42.23,月线skdj金叉||周线macd金叉,缩量||价跌量缩||回调缩量,33,002352,002352,002352.SZ,顺丰控股,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
000999.SZ,华润三九,41.34,-0.696613019,41.16,0.435,40.724999999999994,横盘,周线wr超卖||周线vr买入信号||周线cr金叉,缩量||价跌量缩||回调缩量,41.75,41.86,41.37,周线wr超卖||周线boll突破下轨,阳线||放量||价跌量升,33,000999,000999,000999.SZ,华润三九,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600976.SH,健民集团,40.2,0.024881811,40.15,0.375,39.775,横盘,月线bias买入信号||周线wr超卖||月线skdj超卖,缩量||价跌量缩||回调缩量,40.19,40.61,40.2,dma金叉||月线bias买入信号||周线wr超卖,放量||价跌量缩||阴线,17,600976,600976,600976.SS,健民集团,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
002714.SZ,牧原股份,37.07,0.460704607,37.04,0.355,36.685,横盘,boll突破中轨||roc买入信号||dma金叉,缩量||价升量缩||阴线,37.5,37.59,37.07,cr金叉||dmi金叉||月线bias买入信号,价升量涨||阳线||缩量,33,002714,002714,002714.SZ,牧原股份,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600038.SH,中直股份,37.22,0.053763441,37.11,0.899,36.211,横盘,月线bias买入信号||月线dmi金叉,缩量||价升量缩||阴线,37.24,37.69,37.21,macd金叉||dmi金叉||月线bias买入信号,价升量涨||阳线||放量,17,600038,600038,600038.SS,中直股份,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600211.SH,西藏药业,35.38,0.226628895,35.2,0.571,34.629000000000005,横盘,macd金叉||dmi金叉||macd底背离,阳线||缩量||价升量缩,35.3,35.63,35.38,周线vr买入信号||月线mtm金叉||月线boll突破中轨,阳线||缩量||价升量缩,17,600211,600211,600211.SS,西藏药业,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
000513.SZ,丽珠集团,34.35,0.644594199,34.2,0.088,34.112,横盘,mtm金叉||行情收盘价上穿5日||skdj金叉,阳线||缩量||价升量缩,34.3,34.55,34.36,wr超卖||skdj超卖||kdj超卖,缩量||价跌量缩||回调缩量,33,000513,000513,000513.SZ,丽珠集团,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600298.SH,安琪酵母,35.34,0.056625142,34.67,0.870,33.800000000000004,横盘,行情收盘价上穿5日,缩量||价跌量缩||回调缩量,35.39,35.39,35.34,周线dmi金叉,阳线||缩量||价升量缩,17,600298,600298,600298.SS,安琪酵母,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
603199.SH,九华旅游,33.4,0.602409639,32.97,0.454,32.516,横盘,cr金叉||boll突破中轨||周线行情收盘价上穿5日,阳线||缩量||价升量缩,33.07,33.65,33.4,cci买入信号||dmi金叉||周线wr超卖,价升量涨||阳线||缩量,17,603199,603199,603199.SS,九华旅游,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600009.SH,上海机场,32.07,-0.37278658,32.06,0.187,31.873,横盘,wr超卖||skdj超卖||月线bias买入信号,缩量||价跌量缩||回调缩量,32.19,32.21,32.07,wr超卖||月线bias买入信号||周线wr超卖,缩量||价跌量缩||回调缩量,17,600009,600009,600009.SS,上海机场,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600329.SH,达仁堂,30.64,0.822639026,30.41,0.497,29.913,横盘,cr金叉||macd金叉||dmi金叉,阳线||缩量||价升量缩,30.51,30.78,30.64,月线dmi金叉||月线mtm金叉,阳线||缩量||价升量缩,17,600329,600329,600329.SS,达仁堂,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600900.SH,长江电力,27.04,-0.807043287,27.03,0.295,26.735,横盘,wr超卖||cr金叉||周线wr超卖,缩量||价跌量缩||回调缩量,27.27,27.28,27.04,mtm金叉||行情收盘价上穿5日||周线wr超卖,阳线||缩量||价升量缩,17,600900,600900,600900.SS,长江电力,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600332.SH,白云山,26.83,0.978547234,26.59,0.226,26.364,横盘,行情收盘价上穿5日||boll突破中轨||dmi金叉,阳线||缩量||价升量缩,26.69,26.94,26.83,cr金叉||月线bias买入信号||周线wr超卖,缩量||价跌量缩||回调缩量,17,600332,600332,600332.SS,白云山,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
000895.SZ,双汇发展,26.9,1.932550208,26.49,0.152,26.337999999999997,横盘,行情收盘价上穿5日||月线roc买入信号||月线mtm金叉,阳线||缩量||价升量缩,26.5,27,26.94,月线roc买入信号||月线mtm金叉,缩量||价跌量缩||回调缩量,33,000895,000895,000895.SZ,双汇发展,看涨,看跌,中性,中性,看涨,2,建议观望或卖出,,暂无数据,暂无数据
600887.SH,伊利股份,27.32,-1.585585586,27.29,1.500,25.79,横盘,wr超卖,缩量||价跌量缩||回调缩量,27.65,27.8,27.31,skdj金叉,放量||阴线||价跌量升,17,600887,600887,600887.SS,伊利股份,看涨,看跌,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
002984.SZ,森麒麟,23.98,-0.249584027,23.87,0.336,23.534000000000002,横盘,dmi金叉,缩量||价跌量缩||回调缩量,24.08,24.19,23.98,行情收盘价上穿5日,价升量涨||阳线||缩量,33,002984,002984,002984.SZ,森麒麟,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
002597.SZ,金禾实业,24.82,2.689284237,23.91,0.659,23.251,横盘,周线skdj金叉||周线cci买入信号,阳线||放量||价升量缩,24.32,24.87,24.82,cr金叉||skdj金叉||boll突破中轨,价升量涨||阳线||放量,33,002597,002597,002597.SZ,金禾实业,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
002142.SZ,宁波银行,24.25,-1.622718053,24.25,1.276,22.974,横盘,月线mtm金叉,缩量||价跌量缩||回调缩量,24.6,24.62,24.25,vr买入信号||周线dmi金叉||周线roc买入信号,价升量涨||阳线||放量,33,002142,002142,002142.SZ,宁波银行,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
600007.SH,中国国贸,23.28,-1.813580768,23.26,0.381,22.879,横盘,周线wr超卖,缩量||价跌量缩||回调缩量,23.65,23.65,23.28,周线boll突破中轨||周线行情收盘价上穿5日,缩量||价跌量缩||回调缩量,17,600007,600007,600007.SS,中国国贸,看涨,看跌,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
